N,"Time, c"
1,12.83
2,5.42
3,3.31
4,2.33
5,1.79
6,1.49
7,1.54
8,1.35
9,1.13
10,1.04
11,0.96
12,0.89
13,0.83
14,0.79
15,0.74
16,0.69
17,0.67
18,0.64
19,0.63
20,0.64
21,0.68
22,0.64
23,0.61
24,0.63
25,0.69
26,0.65
27,0.68
28,0.6
29,0.61
30,0.65
